Au,SA000001-064,0.0731,,mg/L,5.8,0.0067,0.0011,0.0071,0.0068,0.0063
Au,SA000001-065,0.1114,,mg/L,3.3,0.0103,0.0011,0.0107,0.0102,0.01
Au,SA000001-066,0.0542,,mg/L,4.5,0.005,0.0013,0.0047,0.005,0.0052
Au,SA000001-067,0.2699,,mg/L,0.8,0.0252,0.0012,0.0254,0.0252,0.025
Au,SA000001-068,1.0496,,mg/L,0.8,0.1008,0.0013,0.1006,0.1017,0.1002
Au,SA000001-069,0.0021,,mg/L,>100,0.0002,0.0011,-0.0001,-0.0001,0.0008
Au,SA000001-070,0.1186,,mg/L,4.4,0.0109,0.001,0.0104,0.011,0.0114
Au,SA000001-071,0.1228,,mg/L,4.2,0.0113,0.0011,0.0117,0.0108,0.0115
Au,PATRON,0.4868,,mg/L,5,0.0105,0.0003,0.011,0.01,0.0104
Au,BLANCO,0.0054,,mg/L,>100,0.0001,0.0012,0.0006,0,-0.0003
Au,BLANCO REACTIVO,0,,mg/L,39.9,-0.0008,0.0005,-0.0012,-0.0006,-0.0006
Au,SA000001-072,0.2305,,mg/L,1.6,0.0214,0.0016,0.0212,0.0214,0.0218
Au,SA000001-073,0.1146,,mg/L,1.7,0.0106,0.0015,0.0104,0.0107,0.0107
Au,SA000001-074,0.0401,,mg/L,6.9,0.0037,0.0013,0.0036,0.0035,0.004
Au,SA000001-075,0.1071,,mg/L,6.3,0.0099,0.0016,0.0106,0.0097,0.0094
Au,SA000001-076,0.0907,,mg/L,2.7,0.0084,0.0013,0.0085,0.0081,0.0085
Au,SA000001-077,0.0503,,mg/L,7,0.0046,0.0014,0.0044,0.0045,0.005
Au,SA000001-078,0.2113,,mg/L,2.5,0.0196,0.0014,0.0199,0.0199,0.0191
Au,SA000001-079,0.1153,,mg/L,3.3,0.0106,0.0016,0.0103,0.0107,0.011
Au,SA000001-080,0.0061,,mg/L,79.7,0.0006,0.0014,0.0005,0.001,0.0002
Au,SA000001-081,0.1682,,mg/L,0.7,0.0156,0.0017,0.0156,0.0155,0.0157
Au,PATRON,0.4899,,mg/L,3.6,0.0105,0.0014,0.0107,0.0108,0.0101
Au,BLANCO,0.0064,,mg/L,>100,0.0001,0.0008,0.0002,0.0006,-0.0004
Au,BLANCO REACTIVO,0,,mg/L,89.6,-0.0005,0.0004,-0.001,-0.0001,-0.0005
