Analista,CFR,,,
Fecha de inicio,15/07/2022 17:04,,,
Hoja de trabajo,SA000082-RE_3,,,
Comentario,,,,
Métodos,Au,,,
,,,,
Método: Au EFAA30 (Llama),,,,
,,,,
Au,BLANCO REACTIVO,0,,mg/L
Au,SA000056-043,0.31,,mg/L
Au,SA000056-057,0.175,,mg/L
Au,SA000056-058,0.125,,mg/L
Au,SA000056-059,0.107,,mg/L
Au,SA000056-060,0.078,,mg/L
Au,SA000057-011,0.115,,mg/L
Au,SA000058-058,0.004,,mg/L
Au,PATRON,0.5043,,mg/L
Au,BLANCO,-0.004,,mg/L
Au,BLANCO REACTIVO,0,,mg/L
